,City MPG,Class,Combination MPG,Cylinders,Displacement,Drive,Fuel Type,Highway MPG,Make,Model,Transmission,Year
0,25,midsize car,29,4.0,2.5,FWD,gas,36,mazda,6,m,2014
1,26,midsize car,30,4.0,2.5,FWD,gas,37,mazda,6,a,2014
2,25,small sport utility vehicle,27,4.0,2.5,FWD,gas,31,mazda,cx-5 2wd,a,2014
3,26,small sport utility vehicle,29,4.0,2.0,FWD,gas,34,mazda,cx-5 2wd,m,2014
4,26,small sport utility vehicle,28,4.0,2.0,FWD,gas,32,mazda,cx-5 2wd,a,2014
5,24,small sport utility vehicle,26,4.0,2.5,4WD,gas,29,mazda,cx-5 4wd,a,2014
6,25,small sport utility vehicle,27,4.0,2.0,4WD,gas,30,mazda,cx-5 4wd,a,2014
7,19,subcompact car,22,6.0,3.7,RWD,gas,29,ford,mustang,m,2014
8,19,subcompact car,23,6.0,3.7,RWD,gas,30,ford,mustang,a,2014
9,15,subcompact car,18,8.0,5.8,RWD,gas,24,ford,mustang,m,2014
10,18,subcompact car,20,8.0,5.0,RWD,gas,25,ford,mustang,a,2014
11,22,small sport utility vehicle,24,4.0,2.5,AWD,gas,28,subaru,forester awd,m,2014
12,24,small sport utility vehicle,27,4.0,2.5,AWD,gas,31,subaru,forester awd,a,2014
13,23,small sport utility vehicle,25,4.0,2.0,AWD,gas,27,subaru,forester awd,a,2014
14,19,subcompact car,23,6.0,3.7,RWD,gas,29,ford,mustang convertible,a,2014
15,16,subcompact car,19,8.0,5.0,RWD,gas,25,ford,mustang,m,2014
16,16,subcompact car,19,6.0,3.8,AWD,gas,23,nissan,gt-r,a,2014
17,24,large car,28,6.0,3.0,AWD,diesel,36,audi,a8 l,a,2014
18,20,small sport utility vehicle,22,4.0,2.4,FWD,gas,26,kia,sorento 2wd,a,2014
19,19,small sport utility vehicle,21,4.0,2.4,FWD,gas,27,kia,sorento 2wd,m,2014
20,18,small sport utility vehicle,21,6.0,3.3,FWD,gas,25,kia,sorento 2wd,a,2014
21,19,small sport utility vehicle,21,4.0,2.4,4WD,gas,24,kia,sorento 4wd,a,2014
22,18,small sport utility vehicle,20,6.0,3.3,4WD,gas,23,kia,sorento 4wd,a,2014
23,17,small sport utility vehicle,19,6.0,3.5,AWD,gas,22,nissan,murano crosscabriolet,a,2014
24,13,two seater,16,10.0,5.2,AWD,gas,22,audi,r8 spyder,a,2014
25,13,two seater,16,10.0,5.2,AWD,gas,22,audi,r8,a,2014
26,14,two seater,17,8.0,4.2,AWD,gas,23,audi,r8 spyder,a,2014
27,14,two seater,17,8.0,4.2,AWD,gas,23,audi,r8,a,2014
28,12,two seater,14,10.0,5.2,AWD,gas,19,audi,r8 spyder,m,2014
29,12,two seater,14,10.0,5.2,AWD,gas,19,audi,r8,m,2014
30,11,two seater,14,8.0,4.2,AWD,gas,20,audi,r8 spyder,m,2014
31,11,two seater,14,8.0,4.2,AWD,gas,20,audi,r8,m,2014
